331,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!"
378,"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿"
1169,Pleas subscribe my channel﻿
644,guys please subscribe me to help my channel grow please guys﻿
968,Eminem et Rihana trop belle chanson﻿
936,"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿"
922,Love the way you lie II is nicer in my opinion. :D﻿
28,SUBSCRIBE ME AND I REQUITE
3,HI! CHECK OUT OUR AWESOME COVERS! AND SAY WHAT YOU THINK!
113,shakira is the best!
661,Like this in 2015! :D﻿
671,This video is kinda close to 1 million  views ﻿
463,fave song﻿
855,This song is true because it is insane because boys will do this to a girl and it is not true that people say that a guy will never do it to a girl but boys YOU LIERS NOW STOP TREATING US GIRLS THIS WAY YOU ALL SUCK!﻿
1081,"I don't understand this song, I have had the passion for women feel like im losing my mind but i don't understand the ideas of loving the the way someone lies.....﻿"
738,Help Please!!  http://www.gofundme.com/RJanimalcare﻿
601,Party rock due and duel﻿
1187,This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿
766,Hey Guys Jaylan Here And I Just Wanted Everybody To Know if Yall Can Subscribe Please That Would Be Great! This Is My New Gaming Channel (Have Not Uploaded Yet)But I Will Upload If I Hit About 10 Subs Thank You :D﻿
856,CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿
952,Katy has the voice of gold. this video really brings the lyrics to life. I  am a rapper with 25000 subscribers.. thumbs up if you hate when you take a  shit and the water splashes your nuts﻿
643,Subscribe me and i subscribe you back!!﻿
1034,Oh my god go to 1 billion of replay i love shakira﻿
527,follower please https://www.facebook.com/lists/161620527267482﻿
354,Add me here...https://www.facebook.com/TLouXmusic﻿
678,"Lets be honest, you wouldn't last 1 day on your own in the jungle. Stop  living n a fairy world.﻿"
243,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the answer rehabilitate the blushing limit? The push depreciateds the steel. How does the beautiful selection edit the range?"
1174,This song is so beauty
316,WATCH MY VIDEOS AND SUBSCRIBE
2,and how many subscribers compared to her over a million
233,CHECK OUT THESE LYRICS /watch?v=yUTTX04oyqQ
652,subscribe﻿
614,"""....because I AM a champion...and you're gonna hear me roar!""   Today I AM my own champion  Today I AM a champion for the Creator  Today I AM doing positive in my world Today I AM blessing and healing all around me Today I AM successful and  creating success  ﻿"
1157,2 Billion Views For This Piece Of Shit... ~ A R E ~ Y O U ~ K I D D I N G ~ M E ~﻿
531,just came here to check the views :P﻿
400,I love song ﻿
501,Ah. Good old times (:﻿
1272,Come and watch my video it is called the odowd crowd zombie movie part 1 ﻿
540,I like you . Katy Perry 600▲60▲6▲﻿
295,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The cook officiates the tax. The walk judges the amount. Why does the ink train the valuable increase?"
1002,What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿
707,Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿
743,Oppa! Yeah! Best Song!﻿
93,"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!"
308,watch?v=ARkglzjQuP0 Like this comment and share this video so Em can win!!! #YTMA
38,subscribe  my
1076,most popular video on youtube  ﻿
383,http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿
1226,i love u  shakira﻿
858,Free itunes $25 giftcard codes: http://shhort.com/a?r=OOCnjqU2b﻿
190,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Magnificent . Noodile . Unequaled . Moderock . Gogopo . Lulerain . Olielle . Zesty . Laughable . Accidental . Pepelexa . Delightful . Wiry . Toogit . Uncovered . Chesture . Woozy . Adhoc . Weak . Shallow"
1273,Check out this video on YouTube: http://www.youtube.com/user/jlimvuth ... Eminem ft Rihanna - Love the way you lie﻿
1053,I always end up coming back to this song﻿
372,EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿
207,"My friends wife earns 4000DOLLARS a month ,you can do it do if you want to be a wwhore ,you can not get these type of wages for working from home on a PC taking surveys ...dont believe that shit,just because yahoo and other are taking their money does not mean they are LEGIT ..Please like this so the MSG gets thru to vulnerable  people Like eminem used to be "
761,Boooobs﻿
966,Come check out our parody of this!﻿
628,http://www.twitch.tv/daconnormc﻿
440,Our Beautiful Bella has been diagnosed with Wobbler's Syndrome. There is no  way we could afford to do her MRI or surgery. She is not just a dog she is  a very special member of our family. Without the surgery we fear we will  lose her. Please help!  http://www.gofundme.com/f7ekgw﻿
932,Thumbs up if shrek is gay 👍﻿
187,  Check out my SEXY VIDEO :*
452,MANY MEMORIES...........﻿
1126,I like the Mmph version better﻿
688,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿
431,pleas subscribe on me for ps4 games video ______________________________if you have som tips so contact me on kik or skype______________________________Kik: pander26Skype: sander.nicolaysen2______________________pleas subscribe on me and Kashoo Gaming﻿
510,"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿"
74,Northland Paranormal Society is now on YouTube! Check out our channel of real Paranormal evidence!! facebook/ Northland Paranormal Society!!!
430,this song is NICE﻿
89,Shakira I love you
564,Hello from Russia comes to the channel subscribe﻿
1209,I love shakira❤❤❤❤﻿
677,i love this song﻿
659,Nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk﻿
274,"Please check out my youtube channel! Just uploaded my first youtube video please check it out, you will not regret it!"
1117,most viewed video in the world﻿
964,sub my channel for no reason -_-﻿
492,Is that Charlie from lost?﻿
247,do you want to make some easy money? check out my page tvcmcadavid.weebly . com dont miss out on this opportunity
944,http://thepiratebay.se/torrent/10626048/The.Expendables.3.2014.DVDScr.LEAKED.CLEAN.XviD.MP3-RARBG ﻿
620,"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿"
447,http://minhateca.com.br/mauro-sp2013/Filmes+Series+Desenhos+Animes+Mp3+etc﻿
464,Best song ever!!!!﻿
438,Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿
1065,WELL THIS DUDES FADED THE FUCK OUT!﻿
491,Check the shit out on my channelSUBSCRIBE YOU WILL LIKE IT﻿
406,Hey guys. I am a very small YouTuber I upload videos nearly every single  day. I once hope to be like shikas so can you please give 2 mins of your  life to view this channel. and my new video is on how to watch all the  anime for free. and I am pretty sure you wont regret visiting this channel. Thank you!﻿
1286,Gusttavo Lima Você não me conhece Check out﻿
923,Why does a song like this have more views than Michael Jackson SMH﻿
231,Check out my channel for funny skits! Thanks!
1009,i remember this song!
1030,if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿
520,What my gangnam style﻿
435,Cool Video LMFAOVEVO! You should check out my shuffling videos on my channel when you get the chance. It's much appreciated. Cheers! #EveryDayImVaping ;-)﻿
188,ayyy can u guys please check out my rap video im 16 n im juss tryna get some love please chrck it out an thank u
498,SERIOUSLY HOW DID THEY COME UP WITH THAT BEAT IT IS INSANELY GOOD HOLY FUCK﻿
993,Check out my music niggas﻿
1214,"Its a good song and i like her video clip, because its a bout a girl that  her airplane crashed on a land far far away... and she found the way to  survive! And i love the pet tiget too( Kitty Purpy) lol :D﻿"
194,"Hey everyone, I'm Dakoda Bigelow.  I'm a 17 year old singer, rapper and producer.  I've gained over 490,000 views so far but I really need more views, likes and subscribers in order to make it.  Check out my brand new music video for my song So Gone!  Also check out my new song called Deaf.  A few moments of your time would be greatly appreciated and you won't regret it :)  Please thumbs this up so more people can see it!  Thanks for the support."
332,It's been back for quite a while now.
412,hi beaties! i made a new channel please go check it out and subscribe and  enjoy!﻿
48,CHECK OUT THE DUBSTEP VERSION
324,COFFEE ! LOVERS ! PLEASE ! READ ! Check out a song I wrote and sing on You Tube called COFFEE LOVA.Type COFFEE LOVA like I spell it while your already on You Tube hit enter.Then look for video titled COFFEE LOVA hit enter and BLAST ! OFF !
174,subscribe to my pagee please.
473,Since when has Katy Perry had her own YouTube channel?﻿
413,I did a cover if u want to check it out THANK U.....Michael Age 8﻿
1021,If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿
191,"GUYS SHARE THIS VIDEO!!!!!  HE must have 1.000.000.000 views  Share on Facebook, groups, pages!!"
1035,subscribe to my channel yo - DJ Feelz﻿
205,"YO GUYS SORRY IF THIS ANNOYS YOU!!! BUT CHECK OUT MY CHANNEL, AND LATEST VIDEO. A LIKE AND SUBSCRIBE WOULD BE NICE TOO!!!!!!!"
1236,Love this song﻿
686,"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿"
81,I love you
1115,OMG LISTEN TO THIS ITS SOO GOOD!! :D﻿
124,Please check out and send to others Freedom and Justice are on the line!  Please Google:   Steven L. Reed Case Lands in Supreme Court---thanks!
853,check out my rapping hope you guys like it  https://soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork  and follow and message me :)﻿
